"","FCP_M1","FCP_M2","FCP_M3","FF_O","LTAVG_Y10P","NFCP_M1","NFCP_M2","NFCP_M3","PRIME_NA","TB_M3","TB_M6","TB_WK4","TB_Y1","TCMII_Y10","TCMII_Y20","TCMII_Y30","TCMII_Y5","TCMII_Y7","TCMNOM_M1","TCMNOM_M3","TCMNOM_M6","TCMNOM_Y10","TCMNOM_Y1","TCMNOM_Y20","TCMNOM_Y2","TCMNOM_Y30","TCMNOM_Y3","TCMNOM_Y5","TCMNOM_Y7"
"FCP_M1",1,0.539545595171724,0.295196476253384,0.150508647452291,0.0428700000655566,0.0711487889689707,0.0250460490548714,-0.0531626590849389,0.0822778326191251,0.0258605599819075,0.0188021658065255,0.0123489624106522,0.0134087114702746,0.063990483296228,0.0406484611880368,0.0210574584381832,0.0852643352031816,0.0663261151031552,0.013672867850716,0.0344590148674144,0.0183592916695174,0.053800211534021,0.0285744518229773,0.0430126847125006,0.0226153232666075,0.0199700409929966,0.0429818836945801,0.0579911796904037,0.0589763196331395
"FCP_M2",0.539545595171724,1,0.460499515692163,0.00776679680808859,0.0239086082897567,0.127904215931192,-0.01934466369618,-0.0284496531549601,-0.00394630252104229,0.0665908415437847,0.119260211485844,0.020568124660846,0.0902795210928492,0.0407842794933686,0.0402987438223438,0.0075188119831433,0.0520874950934406,0.0584392682606892,0.0189664597143195,0.0827902978152415,0.117165965049516,0.027905165850119,0.0902630922957565,0.0280011549168338,0.0386677921170634,0.0116130836913113,0.0575482106476955,0.0374205178389089,0.0277452153341801
"FCP_M3",0.295196476253384,0.460499515692163,1,0.0524312353665899,0.00642992303592533,0.0709100877313825,0.0321800233647711,-0.0550694230707325,0.11675713047356,-0.0141617393258032,0.0276423977058827,-0.00509916619458827,0.0415365818751035,0.00790629611053395,0.00360980240149538,-0.00425885185612563,0.0289117850115621,0.038907976331902,-0.0100034466928851,0.00444073507609441,0.0232663947122796,0.0467422367268748,0.0495345966790894,0.0404433790392215,0.00990316253480679,0.0322074018190228,0.037846192828871,0.0337785829495302,0.0432088684640409
"FF_O",0.150508647452291,0.00776679680808859,0.0524312353665899,1,0.0691144708119068,0.0518062991086948,0.102841910048194,0.0404677271897456,0.608368627560296,0.0131417971746167,0.0281253303734793,0.0250306745551403,-0.00403372219966864,0.0820403743399748,0.0554287149985585,0.057100524605254,0.101886949545989,0.111844276960626,0.0207902342412291,0.00755739805336703,0.0276228897979319,0.0218728782845011,0.00141498686523698,0.00365701619164525,0.0440933708361959,0.000910990398624777,0.0441009053781993,0.0437544798384335,0.0348865309942848
"LTAVG_Y10P",0.0428700000655566,0.0239086082897567,0.00642992303592533,0.0691144708119068,1,0.05616482473051,0.0446999080084413,0.00860573552251028,0.0681096139639126,0.0927436211091983,0.184555893160917,-0.003329055853462,0.269979092997946,0.938731541181403,0.908039451836233,0.979724116531823,0.706358347597147,0.76429345977157,-0.00459723766903979,0.0942334349172564,0.187029886393485,0.817892563023471,0.300951278493258,0.814571113832368,0.549326976018389,0.802929572661406,0.652485820941301,0.764542477506968,0.797829945106085
"NFCP_M1",0.0711487889689707,0.127904215931192,0.0709100877313825,0.0518062991086948,0.05616482473051,1,0.26507021151758,0.0655117509912845,-0.0754016273979223,0.135477372303061,0.119436465863821,0.143270015881171,0.0969920283565532,0.0483419274570553,0.0548741125424266,0.0661931590566317,0.0111197300733176,0.0277643722157021,0.137356481195293,0.141175596293537,0.127514091634514,0.0294138069154909,0.0909336340779957,0.0476156586910217,0.0679758422181046,0.0469687276782831,0.0290825613430064,0.0218682653587675,0.0231114444098449
"NFCP_M2",0.0250460490548714,-0.01934466369618,0.0321800233647711,0.102841910048194,0.0446999080084413,0.26507021151758,1,0.376736989810542,0.0132701523547302,0.0497364934105757,0.0745564204903045,0.01257619866367,0.0701445665986245,0.0463848823038026,0.0287249408624608,0.0414282666112024,0.05149069189958,0.0483423425228507,-0.00142990014909872,0.0519678922711243,0.0768796176516013,0.0448328878232173,0.0917612872414282,0.0244288490456321,0.0210736900633318,0.025969754656797,0.0240839122007071,0.0336735375604718,0.0340686071814054
"NFCP_M3",-0.0531626590849389,-0.0284496531549601,-0.0550694230707325,0.0404677271897456,0.00860573552251028,0.0655117509912845,0.376736989810542,1,-0.0565838507829779,0.161247880456829,0.106856357262004,-0.0219862096415436,0.0389923281975732,0.0139604527955468,0.0139753342960885,0.00526196657786089,0.00595158738643161,0.00855870979999279,-0.0275976913352527,0.150495107240749,0.10906296025761,-0.0146746811457505,0.0366925635948887,-0.0141726869180734,-0.0320115715287109,-0.0060786240303781,-0.0251582175325885,-0.0333827266746492,-0.0278581530190698
"PRIME_NA",0.0822778326191251,-0.00394630252104229,0.11675713047356,0.608368627560296,0.0681096139639126,-0.0754016273979223,0.0132701523547302,-0.0565838507829779,1,-0.0916702643111559,-0.0228002205878999,-0.0142147994694838,-0.0188590020764996,0.0725451096896639,0.0542870895250726,0.0603652178872457,0.0796506315794131,0.0787647053749533,-0.0149856776505293,-0.0907863249962055,-0.0224594849413069,0.0378953070355433,-0.0203483214344989,0.0192814826289007,0.0242448468580467,0.0132385111998436,0.0375726856958589,0.0552601694676107,0.0502024813571387
"TB_M3",0.0258605599819075,0.0665908415437847,-0.0141617393258032,0.0131417971746167,0.0927436211091983,0.135477372303061,0.0497364934105757,0.161247880456829,-0.0916702643111559,1,0.556546940790589,0.356823880596761,0.27919264551389,0.108424419151887,0.0975242683414801,0.0703692069119723,0.120873558080761,0.107420524821904,0.395563291593653,0.982462784909278,0.538192062761031,0.0645060436506333,0.298464936952853,0.0535516898297764,0.15512137456139,0.0477462349746023,0.115486103321374,0.084619273825672,0.0729320394885808
"TB_M6",0.0188021658065255,0.119260211485844,0.0276423977058827,0.0281253303734793,0.184555893160917,0.119436465863821,0.0745564204903045,0.106856357262004,-0.0228002205878999,0.556546940790589,1,0.329000941326625,0.57319192523708,0.210900277440542,0.188280669848728,0.150725753799,0.216721467871122,0.194945683743996,0.318897908859737,0.550391988688432,0.990922699810924,0.242455679570225,0.592927253383762,0.217189539369582,0.399007479853758,0.206110612657854,0.32829799450372,0.28093729048461,0.258201928216238
"TB_WK4",0.0123489624106522,0.020568124660846,-0.00509916619458827,0.0250306745551403,-0.003329055853462,0.143270015881171,0.01257619866367,-0.0219862096415436,-0.0142147994694838,0.356823880596761,0.329000941326625,1,0.217262573252003,0.0210704008420525,0.00720965088341824,-0.0168771703515033,0.0491318636592559,0.0513624212570932,0.983711312296086,0.358462655756083,0.337421463796133,-0.000955760658965899,0.209073516243552,-0.00429038691378546,0.0717581999174057,-0.00526226450468794,0.0431741084087343,0.0189386098910597,0.00400138315743935
"TB_Y1",0.0134087114702746,0.0902795210928492,0.0415365818751035,-0.00403372219966864,0.269979092997946,0.0969920283565532,0.0701445665986245,0.0389923281975732,-0.0188590020764996,0.27919264551389,0.57319192523708,0.217262573252003,1,0.324272010529211,0.270317975002719,0.237811502381445,0.316163422599272,0.289298721361523,0.190370668206446,0.287717451797514,0.577826133148295,0.382318298962872,0.961596657184426,0.338890432565569,0.573084037959841,0.32212489855689,0.526098392343841,0.452950243316335,0.41111850148374
"TCMII_Y10",0.063990483296228,0.0407842794933686,0.00790629611053395,0.0820403743399748,0.938731541181403,0.0483419274570553,0.0463848823038026,0.0139604527955468,0.0725451096896639,0.108424419151887,0.210900277440542,0.0210704008420525,0.324272010529211,1,0.9025503804141,0.90331759683939,0.803441771720866,0.837100078618929,0.0206030708275875,0.107962884855684,0.213794088739779,0.797016482222513,0.355317337245557,0.751974880130285,0.607982688781937,0.724808000799199,0.714636156583858,0.799753321168278,0.805279031810958
"TCMII_Y20",0.0406484611880368,0.0402987438223438,0.00360980240149538,0.0554287149985585,0.908039451836233,0.0548741125424266,0.0287249408624608,0.0139753342960885,0.0542870895250726,0.0975242683414801,0.188280669848728,0.00720965088341824,0.270317975002719,0.9025503804141,1,0.903748165310114,0.617722495082779,0.639986126781089,0.00525380254708236,0.0989968865681062,0.190814403516975,0.766173227698501,0.296177467338016,0.75801009276928,0.510685829886029,0.752787847305962,0.619989412175364,0.728247034221115,0.752042147516977
"TCMII_Y30",0.0210574584381832,0.0075188119831433,-0.00425885185612563,0.057100524605254,0.979724116531823,0.0661931590566317,0.0414282666112024,0.00526196657786089,0.0603652178872457,0.0703692069119723,0.150725753799,-0.0168771703515033,0.237811502381445,0.90331759683939,0.903748165310114,1,0.655820684151719,0.716690809720314,-0.018021037835841,0.0714798454133937,0.153438046859318,0.798278699830214,0.267978725009647,0.812635830884403,0.511719712576609,0.810484559314471,0.614456277808938,0.730280516701464,0.769146945557952
"TCMII_Y5",0.0852643352031816,0.0520874950934406,0.0289117850115621,0.101886949545989,0.706358347597147,0.0111197300733176,0.05149069189958,0.00595158738643161,0.0796506315794131,0.120873558080761,0.216721467871122,0.0491318636592559,0.316163422599272,0.803441771720866,0.617722495082779,0.655820684151719,1,0.914985425727042,0.0511871710357716,0.120469255241112,0.219824041090529,0.568636424921264,0.350712546295088,0.49095039334248,0.603070151312652,0.449882389792535,0.664736939709306,0.675731454658297,0.624089549807955
"TCMII_Y7",0.0663261151031552,0.0584392682606892,0.038907976331902,0.111844276960626,0.76429345977157,0.0277643722157021,0.0483423425228507,0.00855870979999279,0.0787647053749533,0.107420524821904,0.194945683743996,0.0513624212570932,0.289298721361523,0.837100078618929,0.639986126781089,0.716690809720314,0.914985425727042,1,0.0580165678230433,0.105480306198051,0.199048855676886,0.622821490238381,0.325829824468874,0.56335124973793,0.551168265355162,0.521207194791685,0.628706321781425,0.671421703890872,0.654319616192374
"TCMNOM_M1",0.013672867850716,0.0189664597143195,-0.0100034466928851,0.0207902342412291,-0.00459723766903979,0.137356481195293,-0.00142990014909872,-0.0275976913352527,-0.0149856776505293,0.395563291593653,0.318897908859737,0.983711312296086,0.190370668206446,0.0206030708275875,0.00525380254708236,-0.018021037835841,0.0511871710357716,0.0580165678230433,1,0.395996978287134,0.323338059861324,-0.00626048225449208,0.185052634331437,-0.010444774236119,0.0670373178582835,-0.0105367533358087,0.0391765691548561,0.0132025936411481,-0.00124161940376214
"TCMNOM_M3",0.0344590148674144,0.0827902978152415,0.00444073507609441,0.00755739805336703,0.0942334349172564,0.141175596293537,0.0519678922711243,0.150495107240749,-0.0907863249962055,0.982462784909278,0.550391988688432,0.358462655756083,0.287717451797514,0.107962884855684,0.0989968865681062,0.0714798454133937,0.120469255241112,0.105480306198051,0.395996978287134,1,0.536137745123353,0.0780792681415191,0.307101782631871,0.0687904877330702,0.167968534857251,0.0605732414826017,0.132146510252286,0.0997539847095686,0.0892580351609219
"TCMNOM_M6",0.0183592916695174,0.117165965049516,0.0232663947122796,0.0276228897979319,0.187029886393485,0.127514091634514,0.0768796176516013,0.10906296025761,-0.0224594849413069,0.538192062761031,0.990922699810924,0.337421463796133,0.577826133148295,0.213794088739779,0.190814403516975,0.153438046859318,0.219824041090529,0.199048855676886,0.323338059861324,0.536137745123353,1,0.245669406009369,0.597353540631121,0.219895245870379,0.401823382265981,0.209638737551286,0.332452876929387,0.284405410572313,0.261928126712175
"TCMNOM_Y10",0.053800211534021,0.027905165850119,0.0467422367268748,0.0218728782845011,0.817892563023471,0.0294138069154909,0.0448328878232173,-0.0146746811457505,0.0378953070355433,0.0645060436506333,0.242455679570225,-0.000955760658965899,0.382318298962872,0.797016482222513,0.766173227698501,0.798278699830214,0.568636424921264,0.622821490238381,-0.00626048225449208,0.0780792681415191,0.245669406009369,1,0.413672940008286,0.969336169908203,0.689624788897923,0.951044634986635,0.814508021874992,0.933138645029793,0.97808028425358
"TCMNOM_Y1",0.0285744518229773,0.0902630922957565,0.0495345966790894,0.00141498686523698,0.300951278493258,0.0909336340779957,0.0917612872414282,0.0366925635948887,-0.0203483214344989,0.298464936952853,0.592927253383762,0.209073516243552,0.961596657184426,0.355317337245557,0.296177467338016,0.267978725009647,0.350712546295088,0.325829824468874,0.185052634331437,0.307101782631871,0.597353540631121,0.413672940008286,1,0.366601228754774,0.618710959397857,0.347302642777398,0.564754386065921,0.489255331688181,0.445165976402627
"TCMNOM_Y20",0.0430126847125006,0.0280011549168338,0.0404433790392215,0.00365701619164525,0.814571113832368,0.0476156586910217,0.0244288490456321,-0.0141726869180734,0.0192814826289007,0.0535516898297764,0.217189539369582,-0.00429038691378546,0.338890432565569,0.751974880130285,0.75801009276928,0.812635830884403,0.49095039334248,0.56335124973793,-0.010444774236119,0.0687904877330702,0.219895245870379,0.969336169908203,0.366601228754774,1,0.609514351895946,0.986930665840259,0.726681595058193,0.864596215244553,0.928824939208741
"TCMNOM_Y2",0.0226153232666075,0.0386677921170634,0.00990316253480679,0.0440933708361959,0.549326976018389,0.0679758422181046,0.0210736900633318,-0.0320115715287109,0.0242448468580467,0.15512137456139,0.399007479853758,0.0717581999174057,0.573084037959841,0.607982688781937,0.510685829886029,0.511719712576609,0.603070151312652,0.551168265355162,0.0670373178582835,0.167968534857251,0.401823382265981,0.689624788897923,0.618710959397857,0.609514351895946,1,0.574640127567232,0.902355123431764,0.825113820966703,0.755250535192737
"TCMNOM_Y30",0.0199700409929966,0.0116130836913113,0.0322074018190228,0.000910990398624777,0.802929572661406,0.0469687276782831,0.025969754656797,-0.0060786240303781,0.0132385111998436,0.0477462349746023,0.206110612657854,-0.00526226450468794,0.32212489855689,0.724808000799199,0.752787847305962,0.810484559314471,0.449882389792535,0.521207194791685,-0.0105367533358087,0.0605732414826017,0.209638737551286,0.951044634986635,0.347302642777398,0.986930665840259,0.574640127567232,1,0.692336067891716,0.832005439932016,0.901984014171605
"TCMNOM_Y3",0.0429818836945801,0.0575482106476955,0.037846192828871,0.0441009053781993,0.652485820941301,0.0290825613430064,0.0240839122007071,-0.0251582175325885,0.0375726856958589,0.115486103321374,0.32829799450372,0.0431741084087343,0.526098392343841,0.714636156583858,0.619989412175364,0.614456277808938,0.664736939709306,0.628706321781425,0.0391765691548561,0.132146510252286,0.332452876929387,0.814508021874992,0.564754386065921,0.726681595058193,0.902355123431764,0.692336067891716,1,0.936049835316882,0.876138697210621
"TCMNOM_Y5",0.0579911796904037,0.0374205178389089,0.0337785829495302,0.0437544798384335,0.764542477506968,0.0218682653587675,0.0336735375604718,-0.0333827266746492,0.0552601694676107,0.084619273825672,0.28093729048461,0.0189386098910597,0.452950243316335,0.799753321168278,0.728247034221115,0.730280516701464,0.675731454658297,0.671421703890872,0.0132025936411481,0.0997539847095686,0.284405410572313,0.933138645029793,0.489255331688181,0.864596215244553,0.825113820966703,0.832005439932016,0.936049835316882,1,0.97248606444271
"TCMNOM_Y7",0.0589763196331395,0.0277452153341801,0.0432088684640409,0.0348865309942848,0.797829945106085,0.0231114444098449,0.0340686071814054,-0.0278581530190698,0.0502024813571387,0.0729320394885808,0.258201928216238,0.00400138315743935,0.41111850148374,0.805279031810958,0.752042147516977,0.769146945557952,0.624089549807955,0.654319616192374,-0.00124161940376214,0.0892580351609219,0.261928126712175,0.97808028425358,0.445165976402627,0.928824939208741,0.755250535192737,0.901984014171605,0.876138697210621,0.97248606444271,1
